data,codigo_reservatorio,reservatorio,cota_m,afluencia_m3_s,defluencia_m3_s,vazao_vertida_m3_s,vazao_turbinada_m3_s,vazao_natural_m3_s,volume_util_percentual,vazao_incremental_m3_s
2000-01-02,19115,IRAPE,NA,NA,NA,NA,NA,311.86,NA,NA
2000-01-03,19115,IRAPE,NA,NA,NA,NA,NA,728.17,NA,NA
2000-01-01,19116,ITAPEBI,NA,NA,NA,NA,NA,350.72,NA,NA
2000-01-02,19116,ITAPEBI,NA,NA,NA,NA,NA,361.78,NA,NA
2000-01-03,19116,ITAPEBI,NA,NA,NA,NA,NA,476.52,NA,NA
2000-01-01,19119,TRÊS MARIAS,557.74,1514,391,0,NA,863.1,25.12,NA
2000-01-02,19119,TRÊS MARIAS,557.83,998,405,0,NA,971.86,25.46,NA
2000-01-03,19119,TRÊS MARIAS,557.99,1458,405,0,NA,1246.3,26.05,NA
2000-01-01,19120,QUEIMADO,NA,75,NA,NA,NA,NA,NA,NA
2000-01-02,19120,QUEIMADO,NA,74,NA,NA,NA,NA,NA,NA
2000-01-03,19120,QUEIMADO,NA,70,NA,NA,NA,NA,NA,NA
2000-01-01,19121,SOBRADINHO,384.42,2810,1615,0,NA,3258,19.44,NA
2000-01-02,19121,SOBRADINHO,384.5,2880,1625,0,NA,3400,19.93,NA
2000-01-03,19121,SOBRADINHO,384.54,3080,1861,0,NA,3667,20.18,NA
2000-01-01,19122,LUIZ GONZAGA,301.13,1832,1670,0,NA,1479,39.06,NA
2000-01-02,19122,LUIZ GONZAGA,301.16,1775,1532,0,NA,1468,39.66,NA
2000-01-03,19122,LUIZ GONZAGA,301.1,1400,1886,0,NA,1703,38.47,NA
2000-01-01,19123,MOXOTO,NA,0,0,0,NA,0,NA,NA
2000-01-03,19123,MOXOTO,NA,0,0,0,NA,0,NA,NA
2000-01-01,19124,"P. AFONSO 1,2,3",NA,0,0,0,NA,0,NA,NA
2000-01-03,19124,"P. AFONSO 1,2,3",NA,0,0,0,NA,0,NA,NA
2000-01-01,19125,P. AFONSO 4,NA,0,0,0,NA,0,NA,NA
2000-01-03,19125,P. AFONSO 4,NA,0,0,0,NA,0,NA,NA
2000-01-01,19126,XINGO,137.1,1565,1643,0,NA,1479,NA,NA
2000-01-02,19126,XINGO,137.12,1758,1737,0,NA,1468,NA,NA
2000-01-03,19126,XINGO,137.13,1956,2013,0,NA,1703,NA,NA
2000-01-01,19127,BOA ESPERANÇA,301.59,868.39,417,0,417,814.64,57.03,NA
2000-01-02,19127,BOA ESPERANÇA,301.7,838.09,433,0,433,774.21,58.76,NA
2000-01-03,19127,BOA ESPERANÇA,301.75,693.19,508,0,508,851.85,59.55,NA
2000-01-01,19128,SERRA DA MESA,440.07,1570,445,0,445,1342.33,37.28,NA
2000-01-02,19128,SERRA DA MESA,440.16,2070.94,446,0,446,1465.96,37.6,NA
2000-01-03,19128,SERRA DA MESA,440.29,2927,1052,0,1052,2381.35,37.98,NA
2000-01-01,19129,CANA BRAVA,NA,813.51,813.51,NA,NA,1608.54,NA,NA
2000-01-02,19129,CANA BRAVA,NA,683.8,683.8,NA,NA,1679.38,NA,NA
2000-01-03,19129,CANA BRAVA,NA,1017.09,1017.09,NA,NA,2475.67,NA,NA
2000-01-01,19130,SAO SALVADOR,NA,1114.62,1114.62,NA,NA,1432.54,NA,NA
2000-01-02,19130,SAO SALVADOR,NA,1121.66,1121.66,NA,NA,1852.92,NA,NA
2000-01-03,19130,SAO SALVADOR,NA,1217.27,1217.27,NA,NA,2258.75,NA,NA
2000-01-01,19131,PEIXE ANGICAL,NA,3754.54,3754.54,NA,NA,3827.55,NA,NA
2000-01-02,19131,PEIXE ANGICAL,NA,3913.17,3913.17,NA,NA,4228.02,NA,NA
2000-01-03,19131,PEIXE ANGICAL,NA,4176.82,4176.82,NA,NA,4832.63,NA,NA
2000-01-01,19132,LAJEADO,NA,6226.65,6226.65,NA,NA,6438.84,NA,NA
2000-01-02,19132,LAJEADO,NA,6667.9,6667.9,NA,NA,6806.01,NA,NA
2000-01-03,19132,LAJEADO,NA,6661.91,6661.91,NA,NA,6848.31,NA,NA
2000-01-01,19133,ESTREITO,NA,10673.17,10673.17,NA,NA,10994.45,NA,NA
2000-01-02,19133,ESTREITO,NA,10521.45,10521.45,NA,NA,10847.09,NA,NA
2000-01-03,19133,ESTREITO,NA,10612.38,10612.38,NA,NA,10898.86,NA,NA
2000-01-01,19134,TUCURUI,66.14,18440.76,5805,0,5805,18783.85,65.33,NA
2000-01-02,19134,TUCURUI,66.73,20274.31,5886,0,5886,19678.42,68.35,NA
2000-01-03,19134,TUCURUI,67.33,21396.6,5976,0,5976,20295.73,72.78,NA
2000-01-01,19135,SANTO ANTONIO,NA,NA,NA,NA,NA,17595,NA,NA
2000-01-02,19135,SANTO ANTONIO,NA,NA,NA,NA,NA,17648,NA,NA
2000-01-03,19135,SANTO ANTONIO,NA,NA,NA,NA,NA,17779,NA,NA
2000-01-01,19138,RONDON II,NA,NA,NA,NA,NA,73,NA,NA
2000-01-02,19138,RONDON II,NA,NA,NA,NA,NA,88,NA,NA
2000-01-03,19138,RONDON II,NA,NA,NA,NA,NA,103,NA,NA
2000-01-01,19139,CURUA-UNA,NA,0,0,0,NA,0,0,NA
2000-01-03,19139,CURUA-UNA,NA,0,0,0,NA,0,0,NA
